,User,Date,Tweet,Tweets Ago,Compound,Negative,Neutral,Positive
33,@BBCNews,Sat Sep 22 10:41:13 +0000 2018,Paul Gosar: Siblings savage congressman in attack advert https://t.co/aoV52iyeo5,34,-0.7269,0.534,0.466,0.0
34,@BBCNews,Sat Sep 22 10:38:38 +0000 2018,Maniac: The new James Bond director's experimental Netflix drama https://t.co/W8q5Pt2wxS,35,-0.4767,0.744,0.256,0.0
35,@BBCNews,Sat Sep 22 10:11:23 +0000 2018,"RT @BBCNewsbeat: Love, Brexit and the Irish border 🇬🇧💞

When you live on opposite sides of a border that might not be invisible for much lo…",36,0.6369,0.851,0.0,0.149
36,@BBCNews,Sat Sep 22 10:05:16 +0000 2018,Church of England will not take on Wonga's loans https://t.co/iCVPKb9qxH,37,0.0,1.0,0.0,0.0
37,@BBCNews,Sat Sep 22 09:53:11 +0000 2018,"RT @BBCPolitics: The #Brexit secretary @DominicRaab joined us live on this week's #Brexitcast 
Listen 🎧https://t.co/D3cFlPLiSF
Watch 📺https…",38,0.0,1.0,0.0,0.0
38,@BBCNews,Sat Sep 22 08:50:51 +0000 2018,Who was the mysterious gardener Miss Harrison? https://t.co/SukFpeGI2A,39,-0.1531,0.814,0.186,0.0
39,@BBCNews,Sat Sep 22 08:42:20 +0000 2018,Jeremy Hunt: Don't mistake politeness for weakness https://t.co/FAiFKFV32s,40,-0.1935,0.554,0.258,0.188
40,@BBCNews,Sat Sep 22 08:39:08 +0000 2018,Man stabbed to death in Hackney flat fight https://t.co/cqRDwvPVqy,41,-0.8555,0.39,0.61,0.0
41,@BBCNews,Sat Sep 22 08:14:19 +0000 2018,"Petrol prices could fall by £1.50 a tank, says the AA https://t.co/Qm9NFo2g1J",42,0.0,1.0,0.0,0.0
42,@BBCNews,Sat Sep 22 07:01:04 +0000 2018,Harry Potter's birthplace in Lavenham still for sale https://t.co/me0g1tGvbl,43,0.0,1.0,0.0,0.0
43,@BBCNews,Sat Sep 22 06:26:33 +0000 2018,Deadly gun attack at Iran military parade https://t.co/N5yqjsZuMY,44,-0.6705,0.522,0.478,0.0
44,@BBCNews,Sat Sep 22 05:44:49 +0000 2018,Brett Kavanaugh: Judge accuser 'given more time' for hearing https://t.co/yq1KCwh42C,45,0.0,1.0,0.0,0.0
45,@BBCNews,Sat Sep 22 02:32:42 +0000 2018,"Brexit compromise still possible, Donald Tusk says https://t.co/NwOJB5KuLu",46,0.0,1.0,0.0,0.0
46,@BBCNews,Sat Sep 22 01:59:53 +0000 2018,Bristol venue to play Africa by Toto on loop all night https://t.co/V12DmiiQgC,47,0.34,0.821,0.0,0.179
47,@BBCNews,Sat Sep 22 01:56:48 +0000 2018,'Hezbollah treasurer' Barakat arrested in Brazil border city https://t.co/IeX86ZRaKQ,48,-0.3818,0.603,0.267,0.129
48,@BBCNews,Sat Sep 22 01:54:10 +0000 2018,Twitter warns direct messages were exposed https://t.co/brs4rVOHzR,49,-0.1779,0.649,0.351,0.0
49,@BBCNews,Sat Sep 22 01:51:07 +0000 2018,FedEx Cup play-offs: Justin Rose &amp; Tiger Woods share Tour Championship lead https://t.co/jOcmOr9GnE,50,0.6249,0.683,0.0,0.317
50,@BBCNews,Sat Sep 22 01:48:40 +0000 2018,Labour could renationalise railways in five years - McDonnell https://t.co/qTPe4ztbNy,51,0.0,1.0,0.0,0.0
51,@BBCNews,Sat Sep 22 00:10:00 +0000 2018,How do you solve catastrophic hyperinflation? https://t.co/mQCiATrxuP,52,-0.34,0.5,0.32,0.18
52,@BBCNews,Fri Sep 21 23:53:00 +0000 2018,Crisp packet graduation gown worn in Walkers recycling protest https://t.co/ukuXdnfxW5,53,-0.4939,0.656,0.344,0.0
53,@BBCNews,Fri Sep 21 23:50:07 +0000 2018,"England call up Rory Burns, Joe Denly &amp; Olly Stone for Sri Lanka tour https://t.co/nKhoZC50fz",54,0.0,1.0,0.0,0.0
